"REF_AREA","INDICATOR","GENDER","AGE_CLASS","CITIZENSHIP","OBS_VALUE"
"034003","RESPOP_AV","F","Y10-19","ITL","89"
"034003","RESPOP_AV","F","Y10-19","TOTAL","108"
"034003","RESPOP_AV","F","Y20-29","FRGAPO","20"
"034003","RESPOP_AV","F","Y20-29","ITL","107"
"034003","RESPOP_AV","F","Y20-29","TOTAL","127"
"034003","RESPOP_AV","F","Y30-39","FRGAPO","29"
"034003","RESPOP_AV","F","Y30-39","ITL","102"
"034003","RESPOP_AV","F","Y30-39","TOTAL","131"
"034003","RESPOP_AV","F","Y40-49","FRGAPO","22"
"034003","RESPOP_AV","F","Y40-49","ITL","158"
"034003","RESPOP_AV","F","Y40-49","TOTAL","180"
"034003","RESPOP_AV","F","Y50-59","FRGAPO","15"
"034003","RESPOP_AV","F","Y50-59","ITL","233"
"034003","RESPOP_AV","F","Y50-59","TOTAL","248"
"034003","RESPOP_AV","F","Y60-69","FRGAPO","12"
"034003","RESPOP_AV","F","Y60-69","ITL","216"
"034003","RESPOP_AV","F","Y60-69","TOTAL","228"
"034003","RESPOP_AV","F","Y70-79","FRGAPO","7"
"034003","RESPOP_AV","F","Y70-79","ITL","247"
"034003","RESPOP_AV","F","Y70-79","TOTAL","254"
"034003","RESPOP_AV","F","Y80-89","FRGAPO","4"
"034003","RESPOP_AV","F","Y80-89","ITL","182"
"034003","RESPOP_AV","F","Y80-89","TOTAL","186"
"034003","RESPOP_AV","F","Y90-99","ITL","51"
"034003","RESPOP_AV","F","Y90-99","TOTAL","51"
"034003","RESPOP_AV","M","TOTAL","FRGAPO","114"
"034003","RESPOP_AV","M","TOTAL","ITL","1415"
"034003","RESPOP_AV","M","TOTAL","TOTAL","1529"
"034003","RESPOP_AV","M","Y0-9","FRGAPO","25"
"034003","RESPOP_AV","M","Y0-9","ITL","75"
"034003","RESPOP_AV","M","Y0-9","TOTAL","100"
"034003","RESPOP_AV","M","Y10-19","FRGAPO","18"
"034003","RESPOP_AV","M","Y10-19","ITL","103"
"034003","RESPOP_AV","M","Y10-19","TOTAL","121"
"034003","RESPOP_AV","M","Y20-29","FRGAPO","13"
"034003","RESPOP_AV","M","Y20-29","ITL","113"
"034003","RESPOP_AV","M","Y20-29","TOTAL","126"
"034003","RESPOP_AV","M","Y30-39","FRGAPO","23"
"034003","RESPOP_AV","M","Y30-39","ITL","98"
"034003","RESPOP_AV","M","Y30-39","TOTAL","121"
"034003","RESPOP_AV","M","Y40-49","FRGAPO","20"
"034003","RESPOP_AV","M","Y40-49","ITL","171"
"034003","RESPOP_AV","M","Y40-49","TOTAL","191"
"034003","RESPOP_AV","M","Y50-59","FRGAPO","9"
"034003","RESPOP_AV","M","Y50-59","ITL","233"
"034003","RESPOP_AV","M","Y50-59","TOTAL","242"
"034003","RESPOP_AV","M","Y60-69","FRGAPO","2"
"034003","RESPOP_AV","M","Y60-69","ITL","222"
"034003","RESPOP_AV","M","Y60-69","TOTAL","224"
"034003","RESPOP_AV","M","Y70-79","FRGAPO","3"
"034003","RESPOP_AV","M","Y70-79","ITL","237"
"034003","RESPOP_AV","M","Y70-79","TOTAL","240"
"034003","RESPOP_AV","M","Y80-89","FRGAPO","1"
"034003","RESPOP_AV","M","Y80-89","ITL","141"
"034003","RESPOP_AV","M","Y80-89","TOTAL","142"
"034003","RESPOP_AV","M","Y90-99","ITL","22"
"034003","RESPOP_AV","M","Y90-99","TOTAL","22"
"034003","RESPOP_AV","T","TOTAL","FRGAPO","268"
"034003","RESPOP_AV","T","TOTAL","ITL","2854"
"034003","RESPOP_AV","T","TOTAL","TOTAL","3122"
"034003","RESPOP_AV","T","Y_GE100","ITL","3"
"034003","RESPOP_AV","T","Y_GE100","TOTAL","3"
"034003","RESPOP_AV","T","Y0-9","FRGAPO","51"
"034003","RESPOP_AV","T","Y0-9","ITL","126"
"034003","RESPOP_AV","T","Y0-9","TOTAL","177"
"034003","RESPOP_AV","T","Y10-19","FRGAPO","37"
"034003","RESPOP_AV","T","Y10-19","ITL","192"
