anno_inizio,provincia,ordine_scuola,alunni_ritardo,alunni,quota_ritardo
2019,RIMINI,SCUOLA SECONDARIA I GRADO,497,9290,0.0534983853606028
2019,RAVENNA,SCUOLA SECONDARIA II GRADO,2992,14530,0.20591878871300756
2019,BOLOGNA,SCUOLA SECONDARIA I GRADO,1860,27393,0.06790055853685248
2019,RIMINI,SCUOLA PRIMARIA,316,14520,0.021763085399449034
2019,REGGIO EMILIA,SCUOLA SECONDARIA II GRADO,5355,21431,0.24987168120946293
2019,PIACENZA,SCUOLA SECONDARIA II GRADO,2551,11594,0.22002760048300846
2019,RAVENNA,SCUOLA SECONDARIA I GRADO,845,10951,0.07716190302255502
2019,FORLI'-CESENA,SCUOLA SECONDARIA II GRADO,3351,18135,0.1847808105872622
2019,PIACENZA,SCUOLA SECONDARIA I GRADO,687,7508,0.09150239744272776
2019,FERRARA,SCUOLA PRIMARIA,429,13040,0.03289877300613497
2019,RIMINI,SCUOLA SECONDARIA II GRADO,2774,14404,0.19258539294640378
2019,REGGIO EMILIA,SCUOLA SECONDARIA I GRADO,1167,16129,0.07235414470828942
2019,FERRARA,SCUOLA SECONDARIA II GRADO,2877,14408,0.19968073292615213
2019,FORLI'-CESENA,SCUOLA SECONDARIA I GRADO,715,11405,0.06269180184129768
2019,PARMA,SCUOLA SECONDARIA II GRADO,3886,18379,0.2114369661026171
2019,PIACENZA,SCUOLA PRIMARIA,444,12033,0.0368985290451259
2020,RAVENNA,SCUOLA PRIMARIA,414,16260,0.025461254612546124
2020,BOLOGNA,SCUOLA SECONDARIA I GRADO,1471,27379,0.0537273092516162
2020,FERRARA,SCUOLA SECONDARIA II GRADO,2513,14860,0.16911170928667563
2020,RAVENNA,SCUOLA SECONDARIA I GRADO,694,10963,0.0633038401897291
2020,FORLI'-CESENA,SCUOLA PRIMARIA,373,17419,0.021413399161834778
2020,BOLOGNA,SCUOLA SECONDARIA II GRADO,6343,38477,0.1648517296046989
2020,RIMINI,SCUOLA SECONDARIA II GRADO,2296,14795,0.15518756336600203
2020,RIMINI,SCUOLA PRIMARIA,273,14096,0.019367196367763906
2020,BOLOGNA,SCUOLA PRIMARIA,945,41331,0.02286419394643246
